2019-06-07 23:13:43,478 - INFO - Criando servidor com parametros host: 10.254.224.52, port:55000, interval: 0.001
2019-06-07 23:13:43,478 - INFO - Criando socket UDP
2019-06-07 23:14:02,757 - INFO - sending message(id:341) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,759 - INFO - sending message(id:342) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,760 - INFO - sending message(id:343) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,763 - INFO - sending message(id:344) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,764 - INFO - sending message(id:345) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,767 - INFO - sending message(id:346) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,769 - INFO - sending message(id:347) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,771 - INFO - sending message(id:348) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,775 - INFO - sending message(id:349) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,777 - INFO - sending message(id:350) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,778 - INFO - sending message(id:351) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,780 - INFO - sending message(id:352) to ('10.254.224.48', 56916)
